Date,005930.KS,051910.KS,005380.KS,035420.KS,017670.KS,207940.KS,068270.KS,035720.KS,006400.KS,051900.KS
2009-09-11,15860.0,209500.0,103000.0,40816.5,172000.0,,14654.5,50000.0,159500.0,250000.0
2009-09-14,15280.0,211500.0,105000.0,41184.19921875,175500.0,,14926.7001953125,50000.0,155500.0,249500.0
2009-09-15,15380.0,231000.0,108500.0,39835.8984375,172000.0,,15380.400390625,49600.0,165500.0,240500.0
2009-09-16,15900.0,233000.0,112500.0,40448.80078125,174500.0,,15425.7998046875,50500.0,174000.0,242500.0
2009-09-17,16200.0,232500.0,110000.0,40081.1015625,173000.0,,15062.7998046875,51000.0,170000.0,230000.0
2009-09-18,16120.0,229500.0,108000.0,41674.5,174500.0,,15425.7998046875,50900.0,168000.0,228000.0
2009-09-21,15960.0,222000.0,106500.0,42900.19921875,174500.0,,15153.599609375,50400.0,164000.0,233000.0
2009-09-22,16500.0,246000.0,112000.0,43145.3984375,173000.0,,15017.5,53100.0,174500.0,232500.0
2009-09-23,16400.0,246500.0,114500.0,42287.3984375,171500.0,,15017.5,53800.0,175500.0,234500.0
2009-09-24,16060.0,246000.0,110500.0,41429.3984375,172500.0,,14699.900390625,54000.0,168500.0,243500.0
2009-09-25,15900.0,253000.0,115500.0,41674.5,171000.0,,14563.7998046875,54000.0,169500.0,242000.0
2009-09-28,15920.0,240500.0,110500.0,41674.5,176000.0,,14019.2998046875,54500.0,164500.0,249000.0
2009-09-29,16240.0,232500.0,110000.0,41674.5,179500.0,,13837.7998046875,54900.0,157500.0,257000.0
2009-09-30,16300.0,219000.0,111500.0,42532.5,182500.0,,14064.7001953125,54200.0,149000.0,264000.0
2009-10-01,15840.0,209000.0,102500.0,42532.5,185000.0,,13157.2998046875,51100.0,142000.0,263500.0
2009-10-05,14940.0,209500.0,103000.0,41674.5,180000.0,,13338.7998046875,50600.0,144000.0,263000.0
2009-10-06,14900.0,212500.0,102000.0,39223.1015625,180000.0,,13157.2998046875,52000.0,143500.0,254500.0
2009-10-07,14440.0,205500.0,96600.0,41184.19921875,182000.0,,13747.099609375,52200.0,135500.0,250500.0
2009-10-08,14400.0,213500.0,99600.0,40203.69921875,180500.0,,14200.7998046875,52200.0,144500.0,247500.0
2009-10-09,15100.0,220000.0,105000.0,40326.19921875,180500.0,,14064.7001953125,51900.0,148500.0,246500.0
2009-10-12,14980.0,212000.0,105000.0,41306.80078125,180000.0,,14155.400390625,54400.0,148500.0,244500.0
2009-10-13,15140.0,208000.0,106500.0,39835.8984375,183500.0,,13837.7998046875,53500.0,147500.0,237500.0
2009-10-14,15380.0,211000.0,106500.0,41306.80078125,190000.0,,13973.900390625,54500.0,150000.0,248000.0
2009-10-15,15500.0,207000.0,105000.0,41797.1015625,190500.0,,13792.5,54900.0,148500.0,249000.0
2009-10-16,14920.0,205500.0,99900.0,43268.0,188000.0,,13883.2001953125,56700.0,143000.0,248000.0
2009-10-19,15020.0,205500.0,101000.0,43880.80078125,189000.0,,13701.7001953125,57900.0,144000.0,246000.0
2009-10-20,15040.0,207000.0,99300.0,43880.80078125,187500.0,,14427.599609375,56700.0,142500.0,245000.0
2009-10-21,14700.0,205500.0,103500.0,44126.0,187000.0,,14200.7998046875,55800.0,137000.0,246500.0
2009-10-22,14520.0,204500.0,103000.0,42532.5,183000.0,,14019.2998046875,54900.0,133500.0,240500.0
2009-10-23,14900.0,214500.0,109500.0,42287.3984375,181500.0,,13792.5,54800.0,137500.0,242000.0
2009-10-26,15060.0,218000.0,114000.0,42410.0,185500.0,,13656.400390625,56800.0,138000.0,252500.0
2009-10-27,14840.0,218500.0,117000.0,43268.0,183000.0,,13928.599609375,57000.0,141000.0,261000.0
2009-10-28,14400.0,207000.0,115000.0,42164.80078125,180500.0,,13611.0,55700.0,134000.0,251500.0
2009-10-29,14360.0,207500.0,115000.0,41919.69921875,180000.0,,12975.7998046875,53500.0,138000.0,252000.0
2009-10-30,14460.0,207500.0,109500.0,43513.1015625,181500.0,,13202.7001953125,55100.0,137500.0,247000.0
2009-11-02,14360.0,197000.0,102000.0,44126.0,184000.0,,12930.400390625,54300.0,137500.0,243500.0
2009-11-03,14580.0,190000.0,105000.0,43268.0,183000.0,,13021.2001953125,53400.0,137500.0,241000.0
2009-11-04,14660.0,200500.0,106500.0,45229.1015625,182000.0,,13157.2998046875,54000.0,144500.0,249500.0
2009-11-05,14240.0,192500.0,102000.0,45474.30078125,181500.0,,12975.7998046875,54200.0,142500.0,240000.0
2009-11-06,14440.0,200000.0,104500.0,45596.80078125,180500.0,,13021.2001953125,54500.0,146500.0,242000.0
2009-11-09,14480.0,201000.0,102500.0,44984.0,179000.0,,13111.900390625,53400.0,145000.0,248000.0
2009-11-10,14540.0,202000.0,105000.0,46454.80078125,179000.0,,13384.099609375,54500.0,145500.0,242000.0
2009-11-11,14700.0,202000.0,105500.0,46577.3984375,179500.0,,13474.900390625,56400.0,145500.0,255500.0
2009-11-12,14400.0,195000.0,102000.0,44861.3984375,177000.0,,13474.900390625,55900.0,141000.0,253000.0
2009-11-13,14280.0,193500.0,101000.0,45229.1015625,178500.0,,13384.099609375,56200.0,135500.0,262500.0
2009-11-16,14660.0,196500.0,102000.0,46332.30078125,178000.0,,12975.7998046875,57000.0,136500.0,263500.0
2009-11-17,14560.0,194500.0,100000.0,45964.6015625,177000.0,,12703.599609375,57800.0,132500.0,262000.0
2009-11-18,15000.0,201500.0,100000.0,45596.80078125,177500.0,,12612.7998046875,58400.0,134500.0,270000.0
2009-11-19,15180.0,209000.0,101500.0,45964.6015625,176000.0,,13157.2998046875,59200.0,137500.0,276000.0
2009-11-20,15100.0,210000.0,102000.0,46945.1015625,175500.0,,13202.7001953125,59600.0,136500.0,270000.0
2009-11-23,15180.0,208000.0,100000.0,47680.6015625,176000.0,,12975.7998046875,61100.0,133000.0,268000.0
2009-11-24,14840.0,204000.0,99800.0,47558.0,175000.0,,12839.7001953125,61700.0,133000.0,269000.0
2009-11-25,14980.0,204000.0,100000.0,46332.30078125,177000.0,,12794.2998046875,61000.0,134500.0,283000.0
2009-11-26,14860.0,207500.0,98400.0,46454.80078125,174500.0,,12749.0,61000.0,132500.0,300000.0
2009-11-27,14240.0,200000.0,94600.0,44493.69921875,170500.0,,12204.5,60800.0,125500.0,288000.0
2009-11-30,14400.0,209500.0,99000.0,45351.69921875,169500.0,,12340.599609375,62700.0,126500.0,285500.0
2009-12-01,14740.0,217000.0,102500.0,45106.6015625,171500.0,,12204.5,63500.0,132500.0,278500.0
2009-12-02,14940.0,225000.0,103000.0,46577.3984375,172500.0,,12204.5,63500.0,140000.0,281500.0
2009-12-03,15180.0,228000.0,104000.0,47435.3984375,173000.0,,12522.099609375,63500.0,142500.0,287000.0
2009-12-04,15240.0,228500.0,104000.0,47435.3984375,173000.0,,12612.7998046875,63800.0,143500.0,302500.0
2009-12-07,15420.0,225500.0,105000.0,48293.3984375,173000.0,,12658.2001953125,64000.0,141000.0,299000.0
2009-12-08,15440.0,227000.0,105000.0,48906.30078125,173500.0,,12794.2998046875,64500.0,141500.0,296000.0
2009-12-09,15560.0,228000.0,108500.0,50744.8984375,172000.0,,12885.099609375,63900.0,141000.0,290500.0
2009-12-10,15760.0,228000.0,110000.0,51480.30078125,176000.0,,13111.900390625,63800.0,140500.0,294500.0
2009-12-11,15700.0,234000.0,109500.0,50009.3984375,176000.0,,13384.099609375,63800.0,141000.0,287500.0
